"a_id","a_uid","a_magid"
"1572","2980","100"
"1573","2981","342"
"1574","2982","97"
"1575","2983","381"
"1576","2986","94"
"1577","2987","133"
"1578","2988","36"
"1579","2926","375"
"1580","2991","250"
"1581","2994","106"
"1582","2996","370"
"1583","2997","66"
"1584","2999","282"
"1585","2999","282"
"1586","3000","33"
"1587","3001","226"
"1588","3002","348"
"1589","3006","327"
"1590","3007","31"
"1591","3008","355"
"1592","3010","250"
"1593","3005","17"
"1594","3005","17"
"1595","3012","376"
"1596","3015","382"
"1597","2937","217"
"1598","3018","106"
"1599","3019","330"
"1600","3020","340"
"1601","3023","33"
"1602","3025","77"
"1603","3029","375"
"1604","3027","368"
"1605","3032","374"
"1606","3038","223"
"1607","3036","300"
"1608","3039","33"
"1609","3042","33"
"1610","3043","156"
"1611","3044","240"
"1612","3045","198"
"1613","3045","354"
"1614","3046","156"
"1615","3047","223"
"1616","3049","265"
"1617","3051","280"
"1618","3053","342"
"1619","3054","62"
"1620","3055","375"
"1621","3057","20"
"1622","3057","271"
"1623","3057","106"
"1624","3059","352"
"1625","3061","310"
"1626","3064","184"
"1627","3063","378"
"1628","3066","84"
"1629","3067","217"
"1630","3067","323"
"1631","3070","81"
"1632","3071","40"
"1633","3072","331"
"1634","3073","370"
"1635","3074","222"
"1636","3074","250"
"1637","3076","314"
"1638","3078","279"
"1639","3078","237"
"1640","3080","336"
"1641","3081","139"
"1642","3088","223"
"1643","3089","280"
"1644","3090","124"
"1645","3091","213"
"1646","3092","257"
"1647","3094","326"
"1648","3096","342"
"1649","3099","37"
"1650","3098","306"
"1651","3101","336"
"1652","3105","156"
"1653","3060","85"
"1654","3109","41"
"1655","3110","187"
"1656","3112","355"
"1657","3113","343"
"1658","1893","106"
"1659","3119","300"
"1660","3120","361"
"1661","3125","97"
"1662","3127","45"
"1663","3127","320"
"1664","3128","166"
"1665","3129","33"
"1668","3130","97"
"1670","3133","228"
"1671","3134","40"
"1672","3141","290"
"1673","3144","373"
"1674","3149","33"
"1675","3147","367"
"1676","3152","133"
"1677","5","195"
"1678","3154","290"
"1679","3155","47"
"1680","3158","8"
"1681","3159","339"
"1682","3161","171"
"1683","3162","97"
"1684","3166","156"
"1685","3169","300"
"1686","3171","222"
"1687","3172","330"
"1688","3173","291"
"1689","3175","171"
"1690","3107","191"
"1691","3178","8"
"1692","3182","278"
"1693","3184","290"
"1694","3186","278"
"1695","3187","370"
"1696","3187","127"
"1697","3193","171"
"1698","3195","370"
"1699","3196","376"
"1700","3199","82"
"1701","3201","378"
"1702","3202","21"
"1703","3203","33"
"1704","3206","17"
"1705","3211","355"
"1706","2332","18"
"1707","3216","117"
"1708","3217","105"
"1709","3218","127"
"1710","3220","375"
"1711","3221","98"
"1712","3222","317"
"1713","3222","48"
"1714","3224","312"
"1715","3227","276"
"1716","3230","353"
"1717","3231","280"
"1718","3231","348"
"1719","3234","19"
"1720","3239","137"
"1721","3240","290"
"1722","3212","314"
"1723","3243","30"
"1724","3244","275"
"1725","3245","287"
"1726","3248","280"
"1727","3251","373"
"1728","3253","21"
"1729","3256","127"
"1730","3257","33"
"1731","3258","74"
"1732","3261","33"
"1733","3263","293"
"1734","3259","229"
"1735","3264","33"
"1736","3265","376"
"1737","3266","375"
"1738","3255","33"
"1739","3269","108"
"1740","3272","119"
"1741","3273","209"
"1742","3275","310"
"1743","3279","366"
"1744","3282","355"
"1745","3285","276"
"1746","3287","369"
"1747","3287","136"
"1748","3287","271"
"1749","3287","270"
"1750","3289","370"
"1751","3283","276"
"1752","3290","310"
"1753","3197","33"
"1754","3288","33"
"1755","3292","98"
"1756","3292","351"
"1757","3292","94"
"1758","3292","120"
"1759","3293","365"
"1760","3295","373"
"1761","3297","272"
"1762","3298","268"
"1763","3300","313"
"1764","3299","83"
"1765","3301","156"
"1766","3303","122"
"1767","3311","300"
"1768","3313","365"
"1769","3315","316"
"1770","3316","331"
"1771","3317","357"
"1772","3318","324"
"1773","3319","342"
"1774","3321","365"
"1775","3322","331"
"1776","3329","361"
"1777","3327","97"
