"mp_id","mp_magasin","mp_production","mp_commentaire"
"1","5","2","La plupart des fruits et l̩gumes sont cultiv̩s en bio - Le lait, fromages et yaourts au lait de vache sont en bio."
"2","9","2","Fromages de ch̬vre, de brebis, de vache en bio. Viande bovine en bio."
"3","10","2","Viande bovine, l̩gumes, fromages, truites, p̢tes, tisanes en bio."
"4","11","4",
"5","12","3",
"6","13","4",
"7","6","1",
"8","7","2",
"9","8","2",
"10","14","1",
"11","15","4",
"12","16","4",
"13","18","1",
